timestamp,agent_id,chunk_index,bytes,gap_ms,parse_ms
14052.8509314,collector,205,98,26.1722,0.0154
14052.8558923,insight,205,105,26.7685,0.0212
14052.8776394,collector,206,98,26.7080,0.0172
14052.8853844,insight,206,98,29.4921,0.0225
14052.9030325,collector,207,98,25.3931,0.0483
14052.9112911,insight,207,102,25.9067,0.0280
14052.9272258,collector,208,98,24.1933,0.0180
14052.9374785,insight,208,100,26.1874,0.0728
14052.95326,collector,209,98,26.0342,0.0214
14052.9624217,insight,209,98,24.9432,0.0174
14052.9801058,collector,210,98,26.8458,0.0293
14052.987754,insight,210,98,25.3323,0.0354
14053.0066565,collector,211,98,26.5507,0.0204
14053.0140236,insight,211,98,26.2696,0.0375
14053.0331719,collector,212,98,26.5154,0.0359
14053.0397831,insight,212,103,25.7595,0.0154
14053.0613106,collector,213,98,28.1387,0.0253
14053.0644135,insight,213,105,24.6304,0.0133
14053.0887184,collector,214,98,27.4078,0.0377
14053.0902969,insight,214,110,25.8834,0.0148
14053.1145106,collector,215,98,25.7922,0.0211
14053.115981,insight,215,100,25.6841,0.0145
14053.1404311,collector,216,98,25.9205,0.0357
14053.1433888,insight,216,105,27.4078,0.0415
14053.1670209,collector,217,98,26.5898,0.0238
14053.1692203,insight,217,105,25.8315,0.0195
14053.1948252,collector,218,98,27.8043,0.0192
14053.1962334,insight,218,105,27.0131,0.0327
14053.2203487,collector,219,98,25.5235,0.0174
14053.2230282,insight,219,101,26.7948,0.0221
14053.2464973,collector,220,98,26.1486,0.0298
14053.2503517,insight,220,104,27.3235,0.0217
14053.2729697,collector,221,98,26.4724,0.0246
14053.2757934,insight,221,104,25.4417,0.0326
14053.2987969,collector,222,98,25.8272,0.0249
14053.3014352,insight,222,103,25.6418,0.0130
14053.3258503,collector,223,98,27.0534,0.0389
14053.3269943,insight,223,103,25.5591,0.0391
14053.3523721,collector,224,100,26.5218,0.0231
14053.3545678,insight,224,109,27.5735,0.0362
14053.3785392,collector,225,97,26.1671,0.0272
14053.3823198,insight,225,105,27.7520,0.0161
14053.4058094,collector,226,101,27.2702,0.0165
14053.4092867,insight,226,108,26.9669,0.0232
14053.4325084,collector,227,99,26.6990,0.0267
14053.4373389,insight,227,104,28.0522,0.0375
14053.4605346,collector,228,98,28.0262,0.0210
14053.4622287,insight,228,98,24.8898,0.0172
14053.4894254,collector,229,98,28.8908,0.0338
14053.4907255,insight,229,103,28.4968,0.0173
14053.5150109,collector,230,99,25.5855,0.0160
14053.5182739,insight,230,99,27.5484,0.0173
14053.5429848,collector,231,100,27.9739,0.0458
14053.5438071,insight,231,98,25.5332,0.0118
14053.5645587,collector,232,104,21.5739,0.0172
14053.5702552,insight,232,98,26.4481,0.0162
14053.589576,collector,233,102,25.0173,0.0204
14053.5957182,insight,233,110,25.4630,0.0188
14053.615817,collector,234,102,26.2410,0.0886
14053.6214944,insight,234,113,25.7762,0.0174
14053.6426449,collector,235,106,26.8279,0.0404
14053.6471092,insight,235,99,25.6148,0.0396
14053.6711659,collector,236,100,28.5210,0.0756
14053.6738683,insight,236,101,26.7591,0.0198
14053.6976356,collector,237,101,26.4697,0.0299
14053.6995776,insight,237,98,25.7093,0.0158
14053.7236902,collector,238,98,26.0546,0.0170
14053.726995,insight,238,98,27.4174,0.0202
14053.7508832,collector,239,100,27.1930,0.0337
14053.7535877,insight,239,100,26.5927,0.0172
14053.7779107,collector,240,99,27.0275,0.0159
14053.7809235,insight,240,101,27.3358,0.0395
14053.8023875,collector,241,104,24.4768,0.0330
14053.804589,insight,241,98,23.6655,0.0352
14053.8284528,collector,242,104,26.0653,0.0224
14053.831045,insight,242,103,26.4560,0.0292
14053.8535411,collector,243,103,25.0883,0.0341
14053.8566488,insight,243,101,25.6038,0.0213
14053.8813258,collector,244,102,27.7847,0.0181
14053.8855891,insight,244,104,28.9403,0.0219
14053.9048494,collector,245,100,23.5236,0.0311
14053.9099891,insight,245,98,24.4000,0.0309
14053.9310088,collector,246,99,26.1594,0.0425
14053.9339605,insight,246,105,23.9714,0.0802
14053.9578279,collector,247,99,26.8191,0.0178
14053.9601986,insight,247,102,26.2381,0.0125
14053.98542,collector,248,106,27.5921,0.0187
14053.9891355,insight,248,100,28.9369,0.0240
14054.0124698,collector,249,104,27.0498,0.0184
14054.0169473,insight,249,99,27.8118,0.0353
14054.0389593,collector,250,103,26.4895,0.0347
14054.04117,insight,250,99,24.2227,0.0247
14054.065626,collector,251,102,26.6667,0.0216
14054.0679743,insight,251,104,26.8043,0.0141
14054.0921753,collector,252,102,26.5493,0.0470
14054.0932856,insight,252,105,25.3113,0.0234
14054.1147956,collector,253,102,22.6203,0.0192
14054.118518,insight,253,106,25.2324,0.0316
14054.1441021,collector,254,103,29.3065,0.0575
14054.1453647,insight,254,102,26.8467,0.0170
14054.1705272,collector,255,98,26.4251,0.0257
