latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,error,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
2040.329670002393,128,62.73495988511007,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2005.748906001827,128,63.81656229101461,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2077.404725001543,128,61.615340746808464,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2045.8219720021589,128,62.56653890305609,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2001.4483909981209,128,63.953685029153554,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1981.6779120010324,128,64.59172765908758,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1968.101051999838,128,65.03731089922233,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1992.0321000026888,128,64.2559926618789,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1980.2155129982566,128,64.63942897113982,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1999.4618729979265,128,64.01722469860407,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2026.30635800233,128,63.16912518904154,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2020.566320999933,128,63.348576421216244,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2085.2297359997465,128,61.38412367241226,ok,single_short,short,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
