timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:00:54.434, 133.40 W, 100 %, 9727 MiB
2025/11/27 17:00:54.604, 133.40 W, 100 %, 9727 MiB
2025/11/27 17:00:54.757, 133.40 W, 100 %, 9727 MiB
2025/11/27 17:00:54.926, 134.21 W, 100 %, 9727 MiB
2025/11/27 17:00:55.096, 134.21 W, 100 %, 9727 MiB
2025/11/27 17:00:55.265, 134.21 W, 100 %, 9727 MiB
2025/11/27 17:00:55.435, 135.18 W, 100 %, 9727 MiB
2025/11/27 17:00:55.604, 135.18 W, 100 %, 9727 MiB
2025/11/27 17:00:55.773, 135.18 W, 100 %, 9727 MiB
2025/11/27 17:00:55.942, 135.29 W, 100 %, 9727 MiB
2025/11/27 17:00:56.110, 135.29 W, 100 %, 9727 MiB
2025/11/27 17:00:56.265, 135.29 W, 100 %, 9727 MiB
2025/11/27 17:00:56.434, 135.26 W, 100 %, 9727 MiB
2025/11/27 17:00:56.603, 135.26 W, 100 %, 9727 MiB
2025/11/27 17:00:56.772, 135.26 W, 100 %, 9727 MiB
2025/11/27 17:00:56.941, 135.09 W, 100 %, 9727 MiB
2025/11/27 17:00:57.109, 135.09 W, 100 %, 9727 MiB
2025/11/27 17:00:57.279, 134.93 W, 100 %, 9727 MiB
2025/11/27 17:00:57.449, 134.93 W, 100 %, 9727 MiB
2025/11/27 17:00:57.618, 134.93 W, 100 %, 9727 MiB
2025/11/27 17:00:57.786, 134.30 W, 100 %, 9727 MiB
2025/11/27 17:00:57.957, 134.30 W, 100 %, 9727 MiB
2025/11/27 17:00:58.128, 134.30 W, 100 %, 9727 MiB
2025/11/27 17:00:58.296, 134.28 W, 100 %, 9727 MiB
2025/11/27 17:00:58.464, 134.28 W, 100 %, 9727 MiB
2025/11/27 17:00:58.632, 134.28 W, 100 %, 9727 MiB
2025/11/27 17:00:58.801, 134.00 W, 100 %, 9727 MiB
2025/11/27 17:00:58.969, 134.00 W, 100 %, 9727 MiB
2025/11/27 17:00:59.139, 134.00 W, 100 %, 9727 MiB
2025/11/27 17:00:59.307, 133.98 W, 100 %, 9727 MiB
2025/11/27 17:00:59.477, 133.98 W, 100 %, 9727 MiB
2025/11/27 17:00:59.646, 133.98 W, 100 %, 9727 MiB
2025/11/27 17:00:59.815, 134.53 W, 100 %, 9727 MiB
2025/11/27 17:00:59.984, 134.53 W, 100 %, 9727 MiB
2025/11/27 17:01:00.153, 134.53 W, 100 %, 9727 MiB
2025/11/27 17:01:00.322, 134.38 W, 100 %, 9727 MiB
2025/11/27 17:01:00.490, 134.38 W, 100 %, 9727 MiB
2025/11/27 17:01:00.660, 134.38 W, 100 %, 9727 MiB
2025/11/27 17:01:00.829, 134.48 W, 100 %, 9727 MiB
2025/11/27 17:01:01.013, 134.48 W, 100 %, 9727 MiB
2025/11/27 17:01:01.184, 134.48 W, 100 %, 9727 MiB
2025/11/27 17:01:01.353, 134.66 W, 100 %, 9727 MiB
2025/11/27 17:01:01.523, 134.66 W, 100 %, 9727 MiB
2025/11/27 17:01:01.692, 134.66 W, 100 %, 9727 MiB
2025/11/27 17:01:01.860, 134.69 W, 100 %, 9727 MiB
