timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:05:29.708, 135.03 W, 99 %, 9499 MiB
2025/11/27 17:05:29.863, 134.88 W, 99 %, 9499 MiB
2025/11/27 17:05:30.035, 134.88 W, 99 %, 9499 MiB
2025/11/27 17:05:30.206, 134.88 W, 99 %, 9499 MiB
2025/11/27 17:05:30.360, 136.46 W, 99 %, 9499 MiB
2025/11/27 17:05:30.515, 136.46 W, 99 %, 9499 MiB
2025/11/27 17:05:30.685, 136.46 W, 99 %, 9499 MiB
2025/11/27 17:05:30.853, 136.64 W, 99 %, 9499 MiB
2025/11/27 17:05:31.025, 136.64 W, 99 %, 9499 MiB
2025/11/27 17:05:31.211, 136.64 W, 99 %, 9499 MiB
2025/11/27 17:05:31.382, 135.52 W, 98 %, 9499 MiB
2025/11/27 17:05:31.551, 135.52 W, 98 %, 9499 MiB
2025/11/27 17:05:31.722, 135.52 W, 98 %, 9499 MiB
2025/11/27 17:05:31.892, 133.77 W, 98 %, 9499 MiB
2025/11/27 17:05:32.063, 133.77 W, 98 %, 9499 MiB
2025/11/27 17:05:32.233, 133.77 W, 98 %, 9499 MiB
2025/11/27 17:05:32.407, 134.34 W, 99 %, 9499 MiB
2025/11/27 17:05:32.576, 134.34 W, 99 %, 9499 MiB
2025/11/27 17:05:32.747, 134.34 W, 99 %, 9499 MiB
2025/11/27 17:05:32.918, 136.49 W, 99 %, 9499 MiB
2025/11/27 17:05:33.088, 136.49 W, 99 %, 9499 MiB
2025/11/27 17:05:33.246, 136.49 W, 99 %, 9499 MiB
2025/11/27 17:05:33.414, 135.24 W, 97 %, 9499 MiB
2025/11/27 17:05:33.584, 135.24 W, 97 %, 9499 MiB
2025/11/27 17:05:33.755, 135.24 W, 97 %, 9499 MiB
2025/11/27 17:05:33.926, 133.91 W, 97 %, 9499 MiB
2025/11/27 17:05:34.082, 133.91 W, 97 %, 9499 MiB
2025/11/27 17:05:34.237, 133.91 W, 97 %, 9499 MiB
2025/11/27 17:05:34.393, 134.76 W, 99 %, 9499 MiB
2025/11/27 17:05:34.563, 134.76 W, 99 %, 9499 MiB
2025/11/27 17:05:34.734, 134.76 W, 99 %, 9499 MiB
2025/11/27 17:05:34.905, 135.93 W, 99 %, 9499 MiB
2025/11/27 17:05:35.060, 135.93 W, 99 %, 9499 MiB
2025/11/27 17:05:35.232, 135.93 W, 99 %, 9499 MiB
2025/11/27 17:05:35.401, 137.05 W, 99 %, 9499 MiB
2025/11/27 17:05:35.572, 137.05 W, 99 %, 9499 MiB
2025/11/27 17:05:35.742, 137.05 W, 99 %, 9499 MiB
2025/11/27 17:05:35.912, 136.66 W, 99 %, 9499 MiB
2025/11/27 17:05:36.081, 136.66 W, 99 %, 9499 MiB
2025/11/27 17:05:36.238, 136.66 W, 99 %, 9499 MiB
2025/11/27 17:05:36.410, 135.60 W, 99 %, 9499 MiB
2025/11/27 17:05:36.579, 135.60 W, 99 %, 9499 MiB
2025/11/27 17:05:36.749, 135.60 W, 99 %, 9499 MiB
2025/11/27 17:05:36.920, 135.50 W, 99 %, 9499 MiB
2025/11/27 17:05:37.090, 135.50 W, 99 %, 9499 MiB
2025/11/27 17:05:37.244, 135.50 W, 99 %, 9499 MiB
2025/11/27 17:05:37.415, 133.97 W, 98 %, 9499 MiB
2025/11/27 17:05:37.570, 133.97 W, 98 %, 9499 MiB
2025/11/27 17:05:37.741, 133.97 W, 98 %, 9499 MiB
2025/11/27 17:05:37.912, 133.62 W, 98 %, 9499 MiB
